Tail	Head	Distribution	Parameters
475	707	lognorm	(0.8065548971495715, 0.04910260098382274, 3.432574831033508)
476	475	lognorm	(0.7110127131192605, -0.07610835635052235, 4.510786712376147)
476	477	lognorm	(0.20847022467615273, -0.5732459551125701, 44.3001054012264)
476	705	lognorm	(0.5967809384804041, -0.3100032445393439, 6.552905530701297)
476	707	lognorm	(0.840592352086295, -0.028380455655012113, 3.8791908838704705)
477	476	lognorm	(0.5819506868152169, 0.26027013241536695, 6.6519615676744)
477	478	lognorm	(0.21851568257948434, -6.207967495726929, 62.874120208441944)
477	503	lognorm	(0.589888396713566, -0.10666843443590993, 6.301942254586648)
477	504	lognorm	(0.42757217685217364, -0.35793422222091476, 9.88593328291633)
478	477	lognorm	(0.20975696609435757, 1.438095519944433, 24.176527972255208)
478	479	gamma	(6.575799754176296, 37.470677644681416, 13.046957762067516)
478	633	lognorm	(0.47778931805967445, 0.003192703423391261, 9.247092431248934)
478	703	lognorm	(0.5171176565379698, 0.450107782041386, 8.356442852707646)
479	478	lognorm	(0.24870616572271365, 3.773302149463457, 44.74064041172605)
479	480	lognorm	(0.29030073971151427, 4.664332206542785, 26.860866383447775)
479	629	lognorm	(0.20867544964023066, 0.8550561095879972, 23.12810518442572)
479	693	lognorm	(0.3300413410171637, 8.648405916996161, 77.52507340103965)
480	479	lognorm	(0.2252771380642588, 0.20031628976831062, 25.23050071522926)
480	481	lognorm	(0.5905861160542984, 0.29305716112202573, 6.120983235245006)
480	483	lognorm	(0.2534515801205406, 0.06234337526989619, 50.63368042823295)
480	484	lognorm	(0.2159748225720319, -1.9332046644459475, 43.560163903321644)
480	486	lognorm	(0.22510748917378764, 0.6009050041870991, 26.89091529390237)
481	480	lognorm	(0.5580021317111381, -0.3140723801196496, 7.023850402509003)
481	482	lognorm	(0.8702817063254362, 0.09294687371726124, 3.270847607175767)
481	483	lognorm	(0.6735355119235753, -0.15759138608026513, 5.0894495159739215)
481	691	lognorm	(0.24126073332566506, 3.6363723021543404, 20.273722975242613)
482	481	lognorm	(0.8767463703236522, 0.07425270468485515, 3.4037545183149653)
483	480	lognorm	(0.24170350861561612, -3.904365304877554, 54.94947695826972)
483	481	lognorm	(0.7192318646401593, -0.06905833341443568, 4.176853519176213)
483	539	lognorm	(0.20472018406156106, 2.9809552626921647, 27.087239666051122)
483	693	gamma	(8.743482748328589, 4.589047104945203, 1.6313214772882005)
484	480	gamma	(12.313359325063356, 7.744808299796723, 2.291034518800199)
484	485	lognorm	(0.23426444433964366, -5.337420250129323, 85.62928995377581)
484	627	gamma	(8.437434289252993, 12.34142043318575, 2.55255599487674)
484	629	lognorm	(0.8522421061989158, 0.008152257943717513, 3.45459293476679)
485	484	lognorm	(0.2586297595958502, 5.166166472174967, 61.742630552168094)
485	489	lognorm	(0.2542144490559195, -15.823283189202012, 129.45067783798805)
485	626	lognorm	(0.20065543332828567, -6.840929422138169, 45.72117025781708)
485	628	lognorm	(0.42075766756071886, -0.41693788064585247, 10.260396873091603)
486	480	gamma	(11.597934904586182, 8.440472022932697, 1.4288838317086192)
486	535	lognorm	(0.2914157792659602, -0.776352804853292, 19.111634027349567)
486	627	lognorm	(0.21483218067491294, -1.368839910415661, 39.329602560193294)
486	691	lognorm	(0.654104258248425, -0.12137419055022268, 5.09330018821706)
487	488	lognorm	(0.26592574015230275, 0.9399018953315514, 17.726791632093096)
487	535	lognorm	(0.16792143759776276, -3.852459243062537, 38.52329116398583)
487	681	lognorm	(0.27089653021109567, 0.5791930856840775, 42.187935975028765)
487	682	lognorm	(0.161028461401374, -3.629673798770778, 30.084937199152428)
488	405	lognorm	(0.5435056427865765, 0.020895159319055716, 7.396631671927681)
488	487	gamma	(10.076664882909547, 14.460423372209569, 5.422149965484392)
488	680	lognorm	(0.19286393474382918, -3.6655232569750025, 45.7882559172763)
488	682	lognorm	(0.21544628603423627, 2.969392503648688, 23.865764740525464)
489	485	lognorm	(0.29218715512870497, 3.3151365481142845, 105.64320626367783)
489	490	lognorm	(0.24941612453978285, 1.2936544830414998, 20.97982193116357)
489	630	lognorm	(0.7057770195921447, 0.22888640117395476, 5.408223488387584)
489	631	lognorm	(0.6431144295289821, 0.013692276308219816, 5.552945668958516)
490	489	lognorm	(0.323964125638641, -0.7040736112026236, 14.253611795911567)
490	491	lognorm	(0.23000556133118533, -2.960887030142673, 65.4498571635753)
490	557	lognorm	(0.44803622434393414, 0.46334263402226994, 9.445679909872783)
490	631	lognorm	(0.47229087577357665, 0.16105587770497942, 9.033112346222087)
491	490	lognorm	(0.22540086381770275, 2.9950561107705695, 29.669375628479592)
491	492	lognorm	(0.29250335807658523, 6.674262816739953, 90.55395313277347)
491	558	lognorm	(0.3520596154041349, -0.1814686132946925, 12.970910257466189)
491	559	lognorm	(0.2669323039487457, 0.31172894882371294, 19.377470138816495)
492	491	lognorm	(0.19727116872079603, -23.06854407239711, 98.85097877366013)
492	493	lognorm	(0.3332065690117505, -0.34852078732146025, 13.45638257173578)
492	561	lognorm	(0.5935791320669528, -0.14771748162761156, 6.269536803260227)
492	562	lognorm	(0.5179877655125715, 0.003965137124574737, 8.119956673226126)
493	492	lognorm	(0.5546239749528791, -0.3177997179651969, 7.022995875917548)
493	494	lognorm	(0.2600638059392215, 3.4279952121733928, 50.791696531017536)
493	497	lognorm	(0.20740077881452657, -4.6981705254289015, 42.779358607814814)
493	562	lognorm	(0.6427356588392843, -0.12494549706369235, 5.50780948926485)
493	564	lognorm	(0.24758266909759125, 2.1715010937786863, 24.680296688678624)
494	493	lognorm	(0.3110607848191735, 9.624742164689643, 52.95578245015981)
494	495	lognorm	(0.21687321643511354, -5.507716046267671, 54.301703713615)
494	561	lognorm	(0.7601302268047914, -0.0072759907369697565, 4.0701993573204)
494	563	lognorm	(0.20208239431893416, -0.23884917054880556, 29.12730593485483)
495	494	gamma	(5.054210743926474, 36.44337584177241, 12.790550933181557)
495	496	lognorm	(0.20759799680866653, -7.46791304266981, 57.637161071308284)
495	551	lognorm	(0.5465601084413391, -0.3025492720839061, 7.039968945250269)
495	560	lognorm	(0.5701478382636402, 0.05893824081258164, 6.992725720713313)
496	436	lognorm	(0.21928428193284377, -21.47576923276241, 79.38160652574966)
496	495	gamma	(6.734788888566085, 25.678434989215898, 7.500142017977729)
496	553	lognorm	(0.33652056757850946, -1.409331875374988, 12.7222581531725)
496	556	lognorm	(0.28831903123872793, -0.6561010588803039, 16.25783931755523)
497	493	lognorm	(0.30580359043227034, 5.9286114192205215, 74.82539511315426)
497	498	lognorm	(0.23871391779811735, -3.4178415548137755, 19.26687629315235)
498	497	gamma	(6.1415466021892815, 9.631628096215394, 3.6554286937376985)
498	499	lognorm	(0.3314697379495758, -0.4988001554927839, 13.006067022222144)
498	533	lognorm	(0.26680513463877864, -1.0758180116842258, 18.14414340264106)
499	498	lognorm	(0.21826436856452797, -1.9240598524862682, 20.824285754991365)
499	500	lognorm	(0.24396597325297015, 5.383974635717012, 37.66600055080835)
499	567	lognorm	(0.4537827901132453, 0.5855885406916461, 9.276897480250483)
499	569	lognorm	(0.6195572080857811, -0.15133738238280725, 5.689982312635875)
500	499	lognorm	(0.3182605588238379, 6.738783358868932, 115.11717942362108)
500	501	gamma	(10.054746147172406, 15.981018057076366, 2.8792661676118145)
500	566	lognorm	(0.19583962590676432, -14.879391086578364, 67.96027396279652)
500	570	lognorm	(0.23201515227159397, 0.94372268691265, 20.85797589748335)
501	500	lognorm	(0.275784747446704, 2.3498385103566815, 115.50506877315172)
501	502	lognorm	(0.2407512105149433, -2.2878497656895824, 18.49517087378161)
501	571	lognorm	(0.6870963520988296, -0.04119186491518306, 5.0138702732952884)
501	636	lognorm	(0.3669965946615277, 0.9693392618726608, 12.114006197359377)
502	501	lognorm	(0.2229037534553103, 0.12661215395127562, 48.91810875165076)
502	503	lognorm	(0.4539765514178381, -0.048441720382377124, 9.082234671508507)
502	632	lognorm	(0.35635225331745446, 7.452651162232733, 125.15362883533528)
502	634	gamma	(7.096953454466485, 27.66399938162725, 6.309395045874657)
503	477	lognorm	(0.7809401624509371, -0.04985622935353233, 4.070458683115912)
503	502	lognorm	(0.21302750953939853, 4.0812241158053, 25.431415519936195)
503	504	lognorm	(0.8539838786612517, 0.021677060926317396, 3.389881660071901)
503	633	lognorm	(0.4324072539521072, 0.9275175814529948, 10.14932680293197)
504	477	lognorm	(0.3620016475853401, 0.1903757662805472, 12.584842014637491)
504	503	lognorm	(0.5775392550139681, -0.12800581446494155, 6.436615539748854)
504	505	lognorm	(0.24365939245931809, -0.616302091612182, 19.496048903384683)
504	635	lognorm	(0.6959097129788259, -0.015278823824054598, 5.0612438278981875)
505	504	gamma	(6.245411555409431, 25.92888870316887, 6.043875206014099)
505	506	lognorm	(0.2114692700454423, -4.392870098883056, 21.97430945641871)
505	634	lognorm	(0.3812107043566362, -0.5230908354591642, 11.766585887430717)
505	639	lognorm	(0.7481147305943316, -0.15386371476628846, 4.155282688315703)
506	505	lognorm	(0.26387006662610935, 3.643793645857948, 52.89522562490485)
506	507	lognorm	(0.1992881078511303, 2.681227892538825, 24.499310811140717)
506	639	lognorm	(0.7959663814392279, -0.01810844522802875, 3.9795227250422265)
506	644	lognorm	(0.26397135017429474, -2.5257520859585894, 18.027599676787617)
507	506	gamma	(18.97916507906939, 1.1203410130287512, 3.4276870997711426)
507	508	lognorm	(0.19086518151863638, -4.831432398228932, 24.99634777951666)
507	578	lognorm	(0.9082694330366887, 0.11279997215868794, 3.4096074120205766)
507	646	lognorm	(0.276230411517501, 1.769430049440091, 55.941481751026274)
508	450	lognorm	(0.72805911031335, 0.06188444354177462, 4.645157529614377)
508	507	lognorm	(0.1809108209073657, 1.1933161068284486, 45.53132344721694)
508	509	lognorm	(0.16120543922383695, -6.29859005052399, 32.99202593609874)
509	508	lognorm	(0.19950342850503539, -2.0899522575654412, 39.37194561374402)
509	510	lognorm	(0.2533784402160713, 2.320817315351305, 74.0592130796905)
509	659	lognorm	(0.6301586676829741, 0.05653538096777505, 6.042153667768513)
509	667	lognorm	(0.8127850193990316, 0.050940433822376244, 3.6300338742020157)
510	509	gamma	(9.46230390867547, 18.968140331819573, 6.165220961660268)
510	511	lognorm	(0.47407320446677115, 0.03289394240010733, 8.678067579691934)
510	658	lognorm	(0.6075045503141134, 0.02112228521697722, 6.18442507963729)
510	666	lognorm	(0.84670638438828, -0.028726256972033373, 3.661589415172225)
511	510	lognorm	(0.4885606728155155, 0.8204711759272165, 8.96176702397186)
511	512	lognorm	(0.2159058454466034, -5.726889507222628, 56.080696200003885)
511	521	lognorm	(0.6600474262314211, 0.13145861104889695, 5.657952871749266)
511	522	lognorm	(0.5988009502526921, -0.09696869032242855, 6.328154765249686)
512	511	lognorm	(0.2370780307237545, -1.622541492065375, 55.2860346726076)
512	513	lognorm	(0.21717097443240763, 0.07755179778613637, 53.49369289004645)
512	661	lognorm	(0.4290797149163339, 0.48662922650576423, 10.00762959060204)
512	670	lognorm	(0.7932899327302272, -0.08863303766825689, 3.6670969948730585)
513	512	lognorm	(0.25583191656644766, 5.3040986572302415, 69.3132675549324)
513	514	lognorm	(0.17360631855905911, -0.8107348851846319, 32.31809997727673)
513	902	gamma	(12.944284787565394, 11.40754447707477, 2.2393661481718894)
513	905	lognorm	(0.6819443446415632, -0.107297960424382, 4.998609047715995)
514	513	lognorm	(0.222207669432448, 5.310417610985797, 42.665957081713145)
514	515	lognorm	(0.4123053950474225, 0.5187539916844799, 10.75295282802319)
514	903	lognorm	(0.43213660887582417, 0.07490299207890841, 10.008555048644336)
514	905	lognorm	(0.8331412447412013, -0.02647661632508584, 3.8617981774186703)
515	514	lognorm	(0.3450478984590179, 1.576389589756921, 13.324586981280232)
515	516	lognorm	(0.8101707965498204, -0.009132888853536622, 3.588447644694938)
515	534	lognorm	(0.4568703293635221, 0.630725460713134, 10.107592896453731)
515	544	lognorm	(0.7993054886884707, -0.03765115414321721, 3.661588762921669)
515	932	lognorm	(0.8609753774379294, 0.0816797453314827, 3.461254108519886)
516	515	lognorm	(0.8316463414320958, -0.009452633586888396, 3.4855886406233676)
516	517	lognorm	(0.8157971431067614, -0.0177023296953869, 3.476327155500476)
516	903	lognorm	(0.5312230613043255, 0.22215407323791797, 7.467497279747606)
516	906	lognorm	(0.8155313902014549, 0.02252630027539787, 3.556079437385227)
517	516	lognorm	(0.8047786793322029, 0.03476504580225791, 3.611801603690692)
517	518	lognorm	(0.8240336588749022, -0.04199213498127202, 3.4580343255038106)
517	908	lognorm	(0.78962397951107, -0.07718691340577855, 3.728741373479175)
517	909	lognorm	(0.8171519726964569, -0.036971767532355204, 3.6369953522469247)
518	517	lognorm	(0.8264130460069434, -0.024371786285325076, 3.5791438153211477)
518	911	lognorm	(0.8696176350472831, -0.005926921825977859, 3.62262728177004)
518	912	lognorm	(0.8010307200397111, 0.014728538444101363, 3.427467246034822)
518	930	lognorm	(0.8084505610744142, -0.06445069572807324, 3.516319113431593)
519	520	lognorm	(0.7851898661899994, -0.0741145826506348, 3.5325679620100607)
519	521	lognorm	(0.6709513716366221, -0.16759373460748606, 5.449379557858872)
519	668	lognorm	(0.22434076447682322, -2.529633500845032, 22.75654612497926)
519	670	lognorm	(0.7583287696075761, -0.0034485424746222033, 4.209656921041997)
520	519	lognorm	(0.8239578624641399, 0.05305941492242883, 3.4518875403175238)
521	511	lognorm	(0.23738351091045506, 0.6405785921156937, 20.030581767667613)
521	519	lognorm	(0.816738758866733, -0.022741213111765628, 3.7501262439634306)
521	666	lognorm	(0.5848367192701942, -0.18604639249124805, 6.460921686042988)
521	670	lognorm	(0.780930965042884, -0.13821241473838247, 3.9295361850429438)
522	511	lognorm	(0.8308486015893497, 0.023290371264301758, 3.3419615807125336)
522	523	lognorm	(0.5625606143944614, 0.27530070971636317, 7.289138394348516)
523	522	lognorm	(0.86368297140315, 0.07340518589248551, 3.4579610544967556)
523	530	lognorm	(0.24611187801228343, -6.2714352384959335, 77.38656537756108)
523	545	lognorm	(0.7738876510658439, -0.028005595661405626, 4.384687311371407)
524	525	lognorm	(0.5337995731902481, -0.028768399689278926, 7.3967394186675115)
524	545	lognorm	(0.23247572579148457, 6.515951709339227, 33.47484005875613)
524	578	lognorm	(0.7192628832050685, -0.00436405607114866, 4.761588182616524)
524	647	lognorm	(0.7319868225173849, 0.11141257849791597, 4.666552991695331)
525	452	lognorm	(0.6065130627669254, 0.3569252669535578, 6.8150701903905375)
525	524	lognorm	(0.21349567280334414, 1.5543927430013014, 35.22915866883456)
525	652	lognorm	(0.7762840395814146, 0.005428680518334221, 3.8158003248525714)
525	657	lognorm	(0.7013626531782127, -0.06618386140563816, 4.759347724349462)
526	527	lognorm	(0.20054928855628656, -2.0739163170383437, 75.34302766134587)
526	528	lognorm	(0.2399485655817756, 5.75279583294191, 185.76535681873975)
526	541	lognorm	(0.7137543308402012, -0.06644454294987251, 4.2246860814565155)
526	546	lognorm	(0.8653746124213613, 0.041407061149574, 3.6269865178942817)
527	526	gamma	(7.787509945212252, 37.32599781929671, 7.609276584318639)
527	542	lognorm	(0.8044880724475553, -0.06481617953835606, 3.595255209438178)
527	543	lognorm	(0.1992659123676755, -2.567565962375766, 53.48625951392887)
527	546	lognorm	(0.7819538065333943, 0.11267133147536776, 3.9128367337243737)
528	526	lognorm	(0.1342039751844598, -7.732177285452104, 50.43280753349549)
528	529	lognorm	(0.6983182739227636, -0.08642075547934061, 4.991602949408903)
528	573	gamma	(6.61866482688799, 5.486878842411585, 1.8878234734289734)
528	575	lognorm	(0.27418798842174674, -2.225864563281678, 38.409098545837146)
529	528	lognorm	(0.5641741749735252, 0.4258332058740177, 7.715750651552831)
529	530	lognorm	(0.71679196020772, 0.34503507708164816, 5.108327071875063)
529	531	lognorm	(0.3183319233490638, -1.675218024213029, 91.57601145137878)
530	523	lognorm	(0.3731298516303422, -0.7563493906082528, 12.134677923876728)
530	529	gamma	(10.744621542721593, 9.246284880158125, 2.3449813647903763)
530	575	lognorm	(0.16914981109902738, -5.8719512571500605, 30.12968104314055)
530	577	lognorm	(0.5045421395676619, -0.6607787253279143, 7.492510860979586)
531	529	lognorm	(0.2531650555763618, 1.0790568624453016, 35.457041147617076)
531	532	lognorm	(0.2855777551297479, 0.7438914934184355, 68.23193024603384)
531	573	lognorm	(0.7472031923638394, -0.08900514244270077, 3.9742074583549023)
531	574	gamma	(7.561284495856203, 3.631864851217351, 1.7729817076631371)
532	531	gamma	(6.258188473174663, 17.403841434068042, 5.127199059268414)
532	533	lognorm	(0.2655153258985744, -0.3976783716110016, 48.632991854459306)
532	569	gamma	(12.779571560754743, 8.656179668759568, 1.705042460577079)
532	574	lognorm	(0.8167864841000767, 0.01945644139143237, 3.6829911917080445)
533	498	lognorm	(0.22749317525782398, 0.5378585332765122, 28.23966775478673)
533	532	lognorm	(0.2314014751362874, 0.7553283036763274, 26.639138858311888)
533	568	lognorm	(0.4986443214757006, 0.7568280888188081, 8.02748960020243)
533	569	lognorm	(0.8098950073052937, -0.06133893813798824, 3.965782192973556)
534	515	lognorm	(0.482049301948665, 0.047891279149593485, 8.850629790848282)
534	543	lognorm	(0.21942450194953256, 2.3347891773572815, 34.83854021746468)
534	933	lognorm	(0.2965360435072731, -5.15094040892375, 314.79557942435304)
535	438	lognorm	(0.1963040640200553, 6.838101035888304, 51.88903395637255)
535	486	lognorm	(0.30260957505524544, -0.3058304606189719, 19.294522135956914)
535	487	lognorm	(0.3195119137873512, -1.6336644058607654, 13.9313362792019)
536	438	gamma	(5.024622004758105, 28.74536275895391, 12.250795569114896)
536	537	gamma	(12.256461960804906, 10.822249623363327, 1.7994777730484497)
536	615	lognorm	(0.3472441944506601, -0.04629955019941172, 13.478982182270606)
537	399	lognorm	(0.1840141683245295, 0.7043529725166502, 31.680208170548283)
537	536	lognorm	(0.24739980537262019, -2.958260982543676, 79.27162121234997)
537	608	lognorm	(0.7905794760383029, 0.02336573122624263, 4.307922491519546)
537	610	lognorm	(0.2774273770178517, -8.265172763851488, 65.01903851182229)
538	409	lognorm	(0.2885092025677768, -0.5919996879732999, 60.47394492872111)
538	474	lognorm	(0.7218839624010962, 0.14640459903424288, 5.086150573610343)
538	699	lognorm	(0.6848026505151743, -0.04119886102378539, 4.941168681941145)
538	704	lognorm	(0.598294667242195, -0.1852434477579285, 6.303101094197426)
539	409	lognorm	(0.5755647057002462, 0.13954150610797642, 7.106878574342424)
539	483	gamma	(9.034498598989702, 19.153042994986762, 8.273488469843599)
539	694	lognorm	(0.3033783825098424, 1.3169980619262631, 28.548222777588407)
539	704	lognorm	(0.759759827510976, 0.06935207911241945, 4.37342189449009)
540	438	lognorm	(0.7402728318440253, -0.05817477366339504, 4.033929981396271)
540	583	lognorm	(0.47389187068970035, 7.745371097560818, 141.80576786859092)
540	622	lognorm	(0.7084077778898341, -0.1601881805765339, 4.664328602180917)
541	526	lognorm	(0.7082508288176217, -0.0010146627483623208, 5.055585180507759)
541	582	lognorm	(0.5896799179790924, -0.37400445183195885, 6.566824272192406)
541	902	lognorm	(0.6209822846619006, -0.10202528787753082, 5.563334326024367)
542	527	lognorm	(0.8336526195740834, 0.038503912384107206, 3.474960263867724)
542	902	lognorm	(0.5479656588624977, 0.37715466543369425, 7.50205168735911)
542	903	lognorm	(0.7760581628609392, 0.05394928648266813, 4.115172312850305)
543	527	gamma	(5.675383861881484, 39.07748976714214, 10.532949035614989)
543	534	lognorm	(0.23425016815342903, 0.004699459057124487, 20.77341909174138)
543	903	lognorm	(0.7986590583895115, 0.07616457966827553, 3.405235111602774)
544	515	lognorm	(0.8066159583362662, -0.02665275666297874, 3.640588440130438)
544	903	lognorm	(0.7409833636366344, 0.01286798828740108, 4.046627121828751)
544	904	lognorm	(0.7092732263749899, -0.010404634858563078, 4.353279761504749)
545	523	lognorm	(0.6753976178531995, 0.03860879009462958, 5.46172151427582)
545	524	lognorm	(0.5732280428271084, -0.04670187988970824, 7.058872439390218)
545	577	lognorm	(0.23579332251508583, 0.7128856212671899, 20.393051776656044)
545	580	lognorm	(0.3117551049568805, -0.21270963244261343, 14.755523535824427)
546	526	lognorm	(0.8199869902832622, 0.056884396239444385, 4.04031840704452)
546	527	lognorm	(0.7823254475871837, -0.05329952757778873, 3.5311246351830867)
547	1	lognorm	(0.8395615238538576, 0.08595401745612904, 3.253381468094412)
547	548	lognorm	(0.4081753098922237, 0.1569581397614255, 10.909344731300262)
547	549	lognorm	(0.14757239199610966, -15.318644308309185, 68.11509973670661)
547	621	lognorm	(0.49918751856063537, 0.02250376526142567, 8.346304813332166)
548	2	lognorm	(0.8588079131295061, 0.06544113264573492, 3.5049740702866075)
548	547	lognorm	(0.5515379963354068, -0.22326312352326994, 7.207073506572314)
548	550	lognorm	(0.5542062728425634, 0.2616385720544264, 7.423148685618266)
548	552	lognorm	(0.23337884521316776, -0.29728789199796635, 20.042116721850903)
548	618	lognorm	(0.6134683956978606, 0.21229202733698604, 6.160573332331266)
549	3	lognorm	(0.8538402538249669, 0.10853703464245265, 3.3038595220836195)
549	547	lognorm	(0.19934349139504265, 3.6508119424145873, 24.200785387233623)
549	550	lognorm	(0.35180144484775283, 0.07139721081793912, 13.468238690028016)
549	551	lognorm	(0.5934378303269332, -0.25422763881251664, 6.437153092192862)
550	4	lognorm	(0.8127432630758754, -0.10426772228246355, 3.7105814494482985)
550	548	lognorm	(0.6734346289756326, -0.07955769884506589, 5.223149523944793)
550	549	lognorm	(0.41577367419885936, 0.8593303771218928, 10.48905352394965)
550	551	gamma	(16.006700147908827, 9.614512370977788, 1.2796166506461655)
550	552	lognorm	(0.21268424357610605, 8.396326759011483, 40.60337980144439)
550	553	lognorm	(0.2002994301796706, 3.3148789100932046, 23.95885359079287)
550	560	lognorm	(0.16095775444411423, -4.458118132139779, 42.448083751965925)
551	5	lognorm	(0.8090573685247955, 0.03278218043330171, 3.5890676427931636)
551	495	lognorm	(0.7091881107839884, 0.3307404734797742, 4.993862838024359)
551	549	lognorm	(0.7952244843339037, 0.029349030636280984, 3.863466371462126)
551	550	lognorm	(0.45119382253984963, -0.4919846928502739, 9.965999659644865)
551	563	gamma	(10.405443196318242, 11.374103465707835, 1.8068225598621144)
552	6	lognorm	(0.7971153999348028, -0.05220459144235888, 3.6891651004999497)
552	435	lognorm	(0.25885732098570846, 0.7698154899456771, 24.282477740183424)
552	548	lognorm	(0.43745317618854973, -0.44812214327414146, 9.839704393043526)
552	550	gamma	(40.29036254537727, 0.1491172263063278, 0.8664725352296807)
552	553	lognorm	(0.5291469457341536, -0.06489990138712855, 7.408545315071306)
552	618	lognorm	(0.1779274297846312, -3.6016759585928546, 27.839994642755624)
552	619	lognorm	(0.7748819576273125, 0.07992440982459598, 4.102639693070687)
553	7	lognorm	(0.7930279920030949, -0.02566317519553715, 3.6609741830211178)
553	496	lognorm	(0.38164186476035633, -0.46366930345097357, 12.032780742915392)
553	550	lognorm	(0.2049470737702741, 2.5669195361915778, 23.760385606081954)
553	552	lognorm	(0.4983243365298109, 0.11714232238828631, 8.273444193295798)
553	560	lognorm	(0.3677257042577652, -0.13281454474082932, 12.26864631559296)
554	8	lognorm	(0.8771230761136203, 0.026880423017879657, 3.4877591025418795)
554	435	lognorm	(0.23038236621812758, -2.4913470845254544, 20.389524871475295)
554	437	lognorm	(0.25365953237077965, 0.38582776623724313, 19.311652434966344)
554	614	lognorm	(0.20788360281288817, 1.815688125822416, 41.96474181843416)
554	619	lognorm	(0.20488734686162097, -1.269495275821503, 70.1070239008082)
554	622	lognorm	(0.23873003540461385, 2.5229623988503813, 98.32093126370368)
554	625	lognorm	(0.34321399533099173, -0.7179405220566545, 13.753070241989805)
555	9	lognorm	(0.8518203160748498, 0.08520018596165885, 3.3341924081728265)
555	556	lognorm	(0.6037584135838412, -0.06163461599012632, 6.045193422930465)
555	622	lognorm	(0.18483368215501955, -7.41630810524336, 65.20649521653066)
555	624	lognorm	(0.21980724719732542, -11.707442026827907, 86.73063269166569)
555	625	lognorm	(0.7807961523195854, -0.07847590426845555, 3.9089106340802005)
556	10	lognorm	(0.8169975272955985, -0.024890904619544792, 3.631009263143012)
556	437	lognorm	(0.412273930559126, -0.1775964230221055, 10.017733325027073)
556	496	lognorm	(0.17004803191128523, -3.3848544700616205, 34.669868513470675)
556	555	lognorm	(0.2959572482477534, -1.3063554287334775, 15.51266329137832)
556	557	lognorm	(0.2047966978948303, 3.361263721866446, 37.84200872067974)
556	560	lognorm	(0.19334057389540246, -9.070655215880139, 82.08442338082074)
556	624	gamma	(10.31973949129495, 29.20323580764062, 4.392527634646035)
557	11	lognorm	(0.8259492080793303, -0.054689523663120354, 3.4355112861970154)
557	490	lognorm	(0.5260653956727732, -0.3506345898095146, 7.310703709798917)
557	556	lognorm	(0.19201780051908596, 0.9371314171890106, 47.93520519272834)
557	558	lognorm	(0.17603559088053405, -8.641833404358444, 56.24678443835714)
557	559	lognorm	(0.24814096223804877, 1.776870051215111, 20.06392048559117)
557	624	lognorm	(0.14684105727772667, -2.64976347617785, 32.65938405636115)
557	630	lognorm	(0.6687996660257336, 0.14050596343381458, 5.768161628913729)
558	12	lognorm	(0.8329425800858916, 0.03271171565760276, 3.507284410562905)
558	491	lognorm	(0.5835054109236715, 0.40137093484361563, 6.9449506576937114)
558	557	lognorm	(0.23995062715874232, -2.074208641836548, 20.583893866654826)
558	560	gamma	(8.48651751535726, 27.36257234999993, 11.703613613011338)
558	561	lognorm	(0.5634329064378447, -0.06513362177808357, 7.164236772062107)
559	13	lognorm	(0.8826878928162856, 0.10992341352967559, 3.3472181532033067)
559	491	lognorm	(0.24827926487407326, -1.423523462504306, 23.552016642118595)
559	557	lognorm	(0.47594983133273533, 0.2901277359500251, 8.991395885686957)
559	562	lognorm	(0.7831558870621975, -0.02565932457482111, 4.14028294552136)
559	566	lognorm	(0.5995851168295223, 0.06821300986281015, 6.496348172019477)
559	631	lognorm	(0.834178035015666, 0.18070158738360498, 3.4557879811057424)
560	14	lognorm	(0.7808447956411331, -0.08366262195431073, 3.6408194344983063)
560	495	lognorm	(0.3510511205154334, -0.4159762786114758, 13.099733888570318)
560	550	gamma	(13.688747399084956, 9.034538251209757, 1.339238984990737)
560	553	lognorm	(0.5773759415280755, 0.14846970282352992, 6.863793794527091)
560	556	lognorm	(0.20748966633140498, 4.50834798481875, 36.63293964025055)
560	558	gamma	(7.620929178712759, 31.742574879243044, 10.294087039106241)
560	561	lognorm	(0.4393749347706214, -0.25799883859345013, 9.327347615868405)
561	15	lognorm	(0.7728057549861174, -0.05144335025578105, 3.582731056379256)
561	492	lognorm	(0.33508715810141415, 1.2978621618402029, 14.25481237587148)
561	494	lognorm	(0.5693445924657154, -0.1445753966595515, 6.675582535350285)
561	558	lognorm	(0.8107882090465293, 0.08767820688195213, 3.814811244423086)
561	560	lognorm	(0.8580795533410062, 0.0909515410804384, 3.790116335615746)
562	16	lognorm	(0.7837200493745291, 0.009901232429902634, 3.9495035947709134)
562	492	lognorm	(0.6196568886877862, 0.03342671331392591, 5.805592298045534)
562	493	lognorm	(0.7508554875504578, 0.04410535526890142, 4.40005021366586)
562	559	lognorm	(0.8887163719621549, 0.1431509922373405, 3.4513533134373318)
562	563	lognorm	(0.8642679964678013, -0.005550937150908512, 3.4100009528536184)
562	567	lognorm	(0.5054711241039558, -0.6216634431099837, 7.7329340292767945)
563	17	lognorm	(0.7751129615309873, -0.07896799602575194, 3.8817845803021362)
563	494	lognorm	(0.5820726100268392, -0.037453492997649836, 6.642902891913256)
563	551	lognorm	(0.5178008076232736, 0.03018336019372706, 8.024636537343461)
563	562	lognorm	(0.8578476085926336, -0.05356225336243911, 3.642076072704734)
563	564	lognorm	(0.405808254926467, 0.002399316670080661, 10.98197001639625)
